Course Name,Ratings(out of 5),reviews,skill 1,skill 2,skill 3,skill 4,skill 5
Microsoft Azure for Data Engineering,4.5,190,Choose Microsft Azure data technologies that meet different business needs and scale to meet demand securely,Describe common data engineering practices,Explain the differences between on-premises and cloud data solutions,Prepare for the Microsoft Certified: Azure Data Engineer Associate exam,
Data Storage in Microsoft Azure,4.5,52,Design and implement data storage,Design and implement data security,Monitor and optimize data storage and data processing,Design and develop data processing,
Data Integration with Microsoft Azure Data Factory,3.9,51,Create data pipelines in the cloud,Manage data pipelines in the cloud,Integrate data at scale with Azure Synapse Pipeline,Integrate data at scale with Azure Data Factory,
Introduction to Microsoft Azure Synapse Analytics,4.5,21,Use Azure Synapse Analytics to build Data Warehouses using modern architecture patterns,Describe the features and components that Azure Synapse Analytics,Use Azure Synapse Analytics to build your analytical solutions in one place,Use Azure Synapse Studio application to interact with the various components of Azure Synapse Analytics,
Exploratory Data Analysis for Machine Learning,4.6,843,Artificial Intelligence (AI),Machine Learning,Feature Engineering,Statistical Hypothesis Testing,Exploratory Data Analysis
Supervised Machine Learning: Regression,4.7,277,Regression Analysis,Supervised Learning,Linear Regression,Ridge Regression,Machine Learning (ML) Algorithms
Supervised Machine Learning: Classification,4.9,166,Decision Tree,Ensemble Learning,Classification Algorithms,Supervised Learning,Machine Learning (ML) Algorithms
Unsupervised Machine Learning,4.7,141,Dimensionality Reduction,Unsupervised Learning,Cluster Analysis,K Means Clustering,Principal Component Analysis (PCA)
Structured Query Language (SQL) using SAS,4.9,185,n/a,,,,
SAS Macro Language,4.8,104,n/a,,,,
Advanced SAS Programming Techniques,4.9,66,n/a,,,,
Address Business Issues with Data Science,4.9,10,Data-Informed Decision-Making,Scope (Project Management),Business Process,,
"Extract, Transform, and Load Data",n/a,n/a,"Extraction, Transformation And Loading (ETL)",Cleaning,Data Mining,,
Analyze Data,n/a,n/a,Data Insight,Data Analysis,Dissemination,Preprocess Data,Data Visualization (DataViz)
Train Machine Learning Models,n/a,n/a,design of experiments,Machine Learning,clustering,regression,classification
Promote the Ethical Use of Data-Driven Technologies,4.7,138,n/a,,,,
Turn Ethical Frameworks into Actionable Steps,4.6,88,Business Analysis,Information Privacy,Business Strategy,Compliance,Ethics Of Artificial Intelligence
Detect and Mitigate Ethical Risks,4.5,62,Risk Management,General Statistics,Risk Assessment,Ethics Of Artificial Intelligence,Privacy
Communicate Effectively about Ethical Challenges in Data-Driven Technologies,4.5,53,Marketing,Business Strategy,Leadership And Management,Communication,Crisis Management
Machine Learning with Python,4.7,"12,940",Python Libraries,Machine Learning,regression,Hierarchical Clustering,K-Means Clustering
Introduction to Deep Learning & Neural Networks with Keras,4.7,"1,111",Deep Learning,Artificial Neural Network,Artificial Intelligence (AI),Machine Learning,keras
Introduction to Computer Vision and Image Processing,4.4,815,Deep Learning,Opencv,Artificial Intelligence (AI),Image Processing,Computer Vision
Deep Neural Networks with PyTorch,4.4,"1,184",n/a,,,,
Introduction to Artificial Intelligence (AI),4.7,"9,662",Data Science,Deep Learning,Artificial Intelligence (AI),Jobs,Machine Learning
Getting Started with AI using IBM Watson,4.5,"2,488",Deep Learning,Application Programming Interfaces (API),Artificial Intelligence (AI),Machine Learning,watson
Building AI Powered Chatbots Without Programming,4.8,"2,227",n/a,,,,
"Python for Data Science, AI & Development",4.6,"27,986",Data Science,Python Programming,Data Analysis,Pandas,Numpy
Google Cloud Big Data and Machine Learning Fundamentals,4.7,"14,928",Tensorflow,Bigquery,Google Cloud Platform,Cloud Computing,
Modernizing Data Lakes and Data Warehouses with Google Cloud,4.7,"2,562",n/a,,,,
Building Batch Data Pipelines on Google Cloud,4.5,"1,534",n/a,,,,
Building Resilient Streaming Analytics Systems on Google Cloud,4.6,"1,167",n/a,,,,
Getting Started with SAS Programming,4.8,"2,568",SAS Studio,Import Data,Reports,Prepare Data,SAS Programs
Doing More with SAS Programming,4.8,824,n/a,,,,
Preparing for the SAS Programming Certification Exam,4.8,76,n/a,,,,
Practicing for the SAS Programming Certification Exam,4.9,55,n/a,,,,
Getting Started with SAS Visual Analytics,4.7,750,n/a,,,,
Data Analysis and Reporting in SAS Visual Analytics,4.8,306,n/a,,,,
Using Data for Geographic Mapping and Forecasting in SAS Visual Analytics,4.8,196,n/a,,,,
"Performing Network, Path, and Text Analyses in SAS Visual Analytics",4.7,178,n/a,,,,
Bookkeeping Basics,4.6,"2,085",Basis Of Accounting,accounting software,Accounting Cycle,Creating Financial Statements,Double-Entry Bookkeeping System
Assets in Accounting,4.3,425,Accounts receivable and cash receipts,Inventory costing methods,PP&E Accounting,Asset Accounting,Depreciation
Financial Statement Analysis,4.4,180,Cash Flow,Bank Reconciliation,Financial reports analysis,financial statement analysis,
Foundations of Project Management,4.9,"43,105",Organizational Culture,Career Development,Strategic Thinking,Change Management,Project Management
Project Initiation: Starting a Successful Project,4.8,"9,667",Stakeholder Management,Strategic Thinking,Business Writing,Project Management,Project Charter
Project Planning: Putting It All Together,4.8,"5,637",Project Planning,Strategic Thinking,Risk Management,Task Estimation,Procurement
Project Execution: Running the Project,4.8,"3,627",Quality Management,Strategic Thinking,Project Execution,Risk Management,Project Management
Introduction to Social Media Marketing,4.8,"8,645",Social Media Marketing,Marketing,Digital Marketing,Social Media Marketing Strategy,
Social Media Management,4.9,"3,091",Content Development,content management,Social Media Marketing,Content Marketing,Marketing Content Development
Fundamentals of Social Media Advertising,4.8,"1,335",Social Media Marketing,Brand Management,Campaign Management,Ad Management,
Advertising with Meta,4.8,"1,501",Social Media Marketing,Meta Ads Manager,Meta advertising,,
Marketing Analytics Foundation,4.8,945,Data Analysis,Marketing,Digital Marketing,,
Introduction to Data Analytics,3.5,116,Marketing,Python Programming,Data Analysis,Tableau Software,Data Visualization (DataViz)
Statistics for Marketing,4.7,53,Marketing,Statistical Analysis,Data Analysis,Linear Regression,Statistical Hypothesis Testing
Data Analytics Methods for Marketing,4.8,68,Marketing,Marketing Mix Modeling,Data Analysis,Linear Regression,Marketing Plan
Foundations of Digital Marketing and E-commerce,4.8,"2,808",Marketing,Customer loyalty,E-Commerce,Marketing Analytics,Customer Outreach
Attract and Engage Customers with Digital Marketing,4.8,576,Website Structure,Customer Awareness,Google,Search Engine Marketing,Search Engine Optimization (SEO)
From Likes to Leads: Interact with Customers Online,4.7,232,Social Listening,Social Media Bidding,Customer Engagement,Social Media Analytics,Social Media Branding
Think Outside the Inbox: Email Marketing,4.7,144,Email Writing,Email list segmentation,Email marketing strategy,Email marketing analytics,Contact management
Sales and CRM Overview,4.6,382,CRM,Sales Operations,Sales,Salesforce Sales Cloud,Salesforce
Lead Management in Salesforce,4.7,120,Lead Management,CRM,Sales Operations,Salesforce Lightning,Salesforce
Opportunity Management in Salesforce,4.8,69,CRM,Opportunity Management,Sales Operations,Salesforce Lightning,Salesforce
"Reports, Dashboards, and Customer Success in Salesforce",4.7,67,Reports and Dashboards,CRM,Sales Operations,Customer Success,Salesforce
Groundwork for Success in Sales Development,4.5,212,Sales,Sales Development,teamwork,Time management,
Foundations for Interviewing with Confidence,4.4,29,Personal Advertisement,Audience,interviewing,Personal Branding,Resume writing
Conversational Selling Playbook for SDRs,4.8,13,Sales Development,cold emailing,Sales,objection handling,Cold Calling
Boosting Productivity through the Tech Stack,n/a,n/a,Prospecting,video prospecting,Sales Development,sales engagement,Customer Relationship Management Software
Sales Enablement,n/a,n/a,Customer Relationship Management (CRM),Content Creation,Customer Success,Sales,Sales Enablement
Inbound Sales,n/a,n/a,Outreach Sequence,Social Selling,Customer Experience,Inside Sales,Sales Presentation
Lead Management with HubSpot,n/a,n/a,Customer Relationship Management (CRM),Data Analysis,Lead Management,,
Sales Reporting with HubSpot,n/a,n/a,Data Management,Customer Relationship Management (CRM),Data Analysis,Sales,Data Visualization (DataViz)
